alert_id,supplier_id,rule_id,alert_date,pillar,indicator,severity,status,previous_value,current_value,change_value,trigger_reason,recommended_route,linked_action_id
MA-2001-001,2001,MR-001,2026-05-05,Governance,Corruption,Critical,Open,81,100,19,Governance corruption-risk indicator is critical,Run Due Diligence,MAC-2001-001
MA-2001-002,2001,MR-002,2026-05-05,Social,Complaints,High,Open,64,84,20,Complaint indicator deteriorated by 20 points,Enhanced Monitoring,MAC-2001-002
MA-2001-003,2001,MR-004,2026-05-05,Environmental,Traceability Gap,High,Open,0,2,2,Open traceability polygon gaps remain unresolved,Open Trace Gap,MAC-2001-003
MA-2003-001,2003,MR-004,2026-05-05,Environmental,Traceability Gap,Critical,Open,0,2,2,Critical origin plot and broken chain-link gaps are open,Open Trace Gap,MAC-2003-001
MA-2003-002,2003,MR-007,2026-05-05,Social,Audit,Medium,Open,69,78,9,Audit signal remains above watch threshold,Create Audit/CAPA,MAC-2003-002
MA-2004-001,2004,MR-001,2026-05-05,Environmental,Carbon,Critical,Open,72,94,22,Carbon indicator crossed critical threshold,Run Due Diligence,MAC-2004-001
MA-2004-002,2004,MR-001,2026-05-05,Social,Working Hours,Critical,Open,75,96,21,Working-hours pressure crossed critical threshold,Run Due Diligence,MAC-2004-002
MA-2005-001,2005,MR-003,2026-05-05,Governance,Certification Expiry,High,Open,0,1,1,Open certification expiry alert exists,Request Evidence,MAC-2005-001
MA-2007-001,2007,MR-003,2026-05-05,Governance,Certification Expiry,High,Open,0,1,1,Open certification expiry alert exists,Request Evidence,MAC-2007-001
MA-2007-002,2007,MR-002,2026-05-05,Environmental,Deforestation,High,Open,61,76,15,Deforestation pressure increased by 15 points,Enhanced Monitoring,MAC-2007-002
